市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SH,603538,2017-12-29 09:25:01,26.8200,1,5364.0000,2,S,26.8200,26.8100,26.7900,26.7800,26.7200,26.8400,26.9800,27.1900,27.2000,27.4900,2,3,6,3,1,3,4,10,34,3
SH,603538,2017-12-29 09:30:02,26.8400,1,8052.0000,3,B,26.8700,26.8600,26.8400,26.8200,26.8100,26.9800,27.0800,27.1000,27.1100,27.1400,1,7,20,2,3,4,8,27,8,8
SH,603538,2017-12-29 09:30:27,26.8700,1,2687.0000,1,S,26.8600,26.8400,26.8300,26.8200,26.8000,26.8700,26.9800,27.0800,27.1000,27.1100,10,41,18,12,10,2,4,8,27,8
SH,603538,2017-12-29 09:30:36,26.8700,1,5374.0000,2,B,26.8700,26.8600,26.8400,26.8300,26.8200,26.9800,27.0800,27.1000,27.1100,27.1400,1,10,41,18,12,4,8,27,8,8
SH,603538,2017-12-29 09:30:51,26.8600,3,29547.0000,11,S,26.8400,26.8300,26.8200,26.7600,26.7300,26.9800,27.0800,27.1000,27.1100,27.1400,22,18,12,1,3,4,8,27,8,8
SH,603538,2017-12-29 09:31:33,26.8600,1,2686.0000,1,S,26.8600,26.8500,26.8400,26.8300,26.8200,26.9600,26.9700,26.9800,27.0800,27.1100,2,10,32,18,12,2,2,4,8,8
SH,603538,2017-12-29 09:31:45,26.8400,3,37590.0000,14,S,26.8400,26.8300,26.8200,26.7600,26.7300,26.9600,26.9700,26.9800,27.0800,27.1100,30,18,10,1,3,7,2,4,8,8
SH,603538,2017-12-29 09:32:18,26.8400,2,26840.0000,10,S,26.8400,26.8300,26.8200,26.7600,26.7300,26.9500,26.9600,26.9700,26.9800,27.0800,14,18,10,1,3,17,7,2,4,8
SH,603538,2017-12-29 09:33:30,26.8400,1,8052.0000,3,S,26.8400,26.8300,26.8200,26.7600,26.7300,26.9400,26.9500,26.9800,27.0800,27.1100,24,18,10,1,3,5,10,4,8,8
SH,603538,2017-12-29 09:34:09,26.8500,2,13425.0000,5,S,26.8400,26.8300,26.8200,26.7600,26.7300,26.8500,26.9400,26.9500,26.9800,27.0800,24,18,10,1,3,1,5,10,4,8
