万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600000.SH,600000,20230103,91500000,0,8,A,B,65500,100,
600000.SH,600000,20230103,91500000,0,11,A,B,65500,100,
600000.SH,600000,20230103,91500000,0,16,A,S,69200,100,
600000.SH,600000,20230103,91500000,0,20,A,B,67000,100,
600000.SH,600000,20230103,91500030,0,34,A,B,72500,100,
600000.SH,600000,20230103,91500030,0,52,A,B,72800,100,
600000.SH,600000,20230103,91500030,0,53,A,B,72800,100,
600000.SH,600000,20230103,91500030,0,54,A,B,72800,100,
600000.SH,600000,20230103,91500030,0,57,A,B,72800,100,
600000.SH,600000,20230103,91500030,0,59,A,S,77900,600,
600000.SH,600000,20230103,91500030,0,69,A,B,65500,100,
600000.SH,600000,20230103,91500030,0,85,A,B,80100,100,
600000.SH,600000,20230103,91500050,0,135,A,B,65500,100,
600000.SH,600000,20230103,91500050,0,8,D,B,65500,100,
600000.SH,600000,20230103,91500050,0,135,D,B,65500,100,
600000.SH,600000,20230103,91500050,0,156,A,B,65500,100,
600000.SH,600000,20230103,91500080,0,297,A,B,72800,100,
600000.SH,600000,20230103,91500080,0,298,A,B,72800,100,
600000.SH,600000,20230103,91500080,0,299,A,B,65500,100,
600000.SH,600000,20230103,91500110,0,330,A,B,65500,100,
600000.SH,600000,20230103,91500110,0,334,A,B,65500,100,
600000.SH,600000,20230103,91500110,0,335,A,B,65500,100,
600000.SH,600000,20230103,91500110,0,337,A,B,65500,100,
600000.SH,600000,20230103,91500110,0,57,D,B,72800,100,
600000.SH,600000,20230103,91500110,0,54,D,B,72800,100,
600000.SH,600000,20230103,91500110,0,380,A,B,80100,100,
600000.SH,600000,20230103,91500110,0,387,A,B,80100,100,
600000.SH,600000,20230103,91500110,0,53,D,B,72800,100,
600000.SH,600000,20230103,91500110,0,52,D,B,72800,100,
600000.SH,600000,20230103,91500110,0,469,A,S,74500,500,
600000.SH,600000,20230103,91500140,0,297,D,B,72800,100,
600000.SH,600000,20230103,91500160,0,298,D,B,72800,100,
600000.SH,600000,20230103,91500290,0,1215,A,B,72300,500,
600000.SH,600000,20230103,91500310,0,1289,A,S,73600,600,
600000.SH,600000,20230103,91500340,0,1674,A,B,72500,100,
600000.SH,600000,20230103,91500340,0,1884,A,S,74500,1000,
600000.SH,600000,20230103,91500340,0,1885,A,S,76000,1000,
600000.SH,600000,20230103,91500340,0,1886,A,S,77500,1000,
600000.SH,600000,20230103,91500340,0,1888,A,S,79000,1000,
600000.SH,600000,20230103,91500340,0,2140,A,S,73800,500,
600000.SH,600000,20230103,91500340,0,2141,A,B,72100,100,
600000.SH,600000,20230103,91500340,0,2200,A,S,77200,500,
600000.SH,600000,20230103,91500460,0,2223,A,B,71300,5000,
600000.SH,600000,20230103,91500460,0,2224,A,B,71200,4000,
600000.SH,600000,20230103,91500460,0,2445,A,S,74200,400,
600000.SH,600000,20230103,91500460,0,2613,A,B,72000,1000,
600000.SH,600000,20230103,91500460,0,2958,A,B,69000,400,
600000.SH,600000,20230103,91500460,0,3039,A,S,78700,100,
600000.SH,600000,20230103,91500460,0,3203,A,S,72900,4200,
600000.SH,600000,20230103,91500460,0,3292,A,S,73800,20000,
600000.SH,600000,20230103,91500460,0,3408,A,S,79600,2600,
600000.SH,600000,20230103,91500460,0,3413,A,S,74000,1000,
600000.SH,600000,20230103,91500460,0,4073,A,S,80000,1000,
600000.SH,600000,20230103,91500630,0,4433,A,S,69900,1100,
600000.SH,600000,20230103,91500630,0,4455,A,S,74600,2500,
600000.SH,600000,20230103,91500630,0,4458,A,S,76600,2500,
600000.SH,600000,20230103,91500630,0,4527,A,S,80100,100,
600000.SH,600000,20230103,91500630,0,4540,A,S,79900,100,
600000.SH,600000,20230103,91500630,0,4578,A,B,68700,100,
600000.SH,600000,20230103,91500630,0,4593,A,S,74000,500,
600000.SH,600000,20230103,91500630,0,4856,A,S,73100,5800,
600000.SH,600000,20230103,91500630,0,5426,A,S,76900,3000,
600000.SH,600000,20230103,91500760,0,6231,A,S,74500,5000,
600000.SH,600000,20230103,91500760,0,6279,A,S,74700,4400,
600000.SH,600000,20230103,91500760,0,6503,A,S,76100,800,
600000.SH,600000,20230103,91500760,0,6504,A,S,77500,1000,
600000.SH,600000,20230103,91500760,0,6505,A,S,77900,1300,
600000.SH,600000,20230103,91500760,0,6506,A,S,80100,1500,
600000.SH,600000,20230103,91500760,0,6650,A,S,73800,320,
600000.SH,600000,20230103,91500760,0,6809,A,B,72500,1800,
600000.SH,600000,20230103,91500760,0,6886,A,S,73200,200,
600000.SH,600000,20230103,91500760,0,6887,A,S,74000,200,
600000.SH,600000,20230103,91500760,0,6889,A,S,74200,200,
600000.SH,600000,20230103,91500760,0,7622,A,S,75500,1400,
600000.SH,600000,20230103,91500760,0,7625,A,B,71300,100,
600000.SH,600000,20230103,91500760,0,7849,A,S,78000,2000,
600000.SH,600000,20230103,91500760,0,7851,A,S,80100,2000,
600000.SH,600000,20230103,91500760,0,7983,A,S,73500,500,
600000.SH,600000,20230103,91500760,0,8058,A,S,73800,2400,
600000.SH,600000,20230103,91500930,0,8554,A,S,75000,500,
600000.SH,600000,20230103,91500930,0,9617,A,B,72500,100,
600000.SH,600000,20230103,91500930,0,9709,A,S,73500,4600,
600000.SH,600000,20230103,91500930,0,9720,A,S,74000,4600,
600000.SH,600000,20230103,91500930,0,9728,A,B,72100,4700,
600000.SH,600000,20230103,91500930,0,9732,A,B,71700,4700,
600000.SH,600000,20230103,91500930,0,10045,A,S,72800,1200,
600000.SH,600000,20230103,91500930,0,10118,A,S,75000,1000,
600000.SH,600000,20230103,91501050,0,10819,A,S,79600,200,
600000.SH,600000,20230103,91501050,0,10872,A,S,74000,5000,
600000.SH,600000,20230103,91501050,0,11091,A,S,79200,2000,
600000.SH,600000,20230103,91501050,0,11120,A,B,71600,200,
600000.SH,600000,20230103,91501050,0,11171,A,S,73700,700,
600000.SH,600000,20230103,91501050,0,11477,A,S,75000,1000,
600000.SH,600000,20230103,91501050,0,11517,A,S,74800,200,
600000.SH,600000,20230103,91501050,0,11773,A,S,80100,2000,
600000.SH,600000,20230103,91501050,0,11774,A,S,79300,1700,
600000.SH,600000,20230103,91501050,0,11897,A,S,74000,3000,
600000.SH,600000,20230103,91501050,0,11899,A,S,75000,3000,
600000.SH,600000,20230103,91501050,0,11900,A,S,76000,3000,
600000.SH,600000,20230103,91501050,0,11901,A,S,78000,3000,
600000.SH,600000,20230103,91501050,0,11902,A,S,80100,3000,
600000.SH,600000,20230103,91501170,0,12438,A,S,73200,200,
600000.SH,600000,20230103,91501170,0,12439,A,S,74400,1000,
600000.SH,600000,20230103,91501170,0,13027,A,S,74900,4000,
600000.SH,600000,20230103,91501170,0,13372,A,B,71300,13000,
600000.SH,600000,20230103,91501280,0,14750,A,S,79700,40200,
600000.SH,600000,20230103,91501280,0,14888,A,B,71300,1000,
600000.SH,600000,20230103,91501280,0,14994,A,S,80000,200,
600000.SH,600000,20230103,91501280,0,15142,A,S,79900,1500,
600000.SH,600000,20230103,91501280,0,15161,A,B,70700,200,
600000.SH,600000,20230103,91501280,0,15191,A,B,71300,1000,
600000.SH,600000,20230103,91501280,0,15192,A,B,70300,1000,
600000.SH,600000,20230103,91501280,0,15196,A,B,69300,1000,
600000.SH,600000,20230103,91501280,0,15197,A,B,68300,1000,
600000.SH,600000,20230103,91501280,0,15198,A,S,73500,1000,
600000.SH,600000,20230103,91501280,0,15203,A,S,74500,1000,
600000.SH,600000,20230103,91501280,0,15221,A,S,75500,1000,
600000.SH,600000,20230103,91501280,0,15222,A,S,76500,1000,
600000.SH,600000,20230103,91501280,0,15223,A,S,77500,1000,
600000.SH,600000,20230103,91501280,0,15224,A,S,78500,1000,
600000.SH,600000,20230103,91501280,0,15225,A,S,79500,1000,
600000.SH,600000,20230103,91501380,0,16130,A,S,74500,1800,
600000.SH,600000,20230103,91501380,0,16146,A,S,73600,900,
600000.SH,600000,20230103,91501380,0,16148,A,S,79900,100,
600000.SH,600000,20230103,91501380,0,16441,A,B,65600,100,
600000.SH,600000,20230103,91501380,0,16732,A,B,70900,3900,
600000.SH,600000,20230103,91501380,0,16941,A,S,73900,2200,
600000.SH,600000,20230103,91501380,0,16983,A,S,74700,2500,
600000.SH,600000,20230103,91501380,0,17023,A,S,79600,16100,
600000.SH,600000,20230103,91501380,0,17344,A,S,73500,500,
600000.SH,600000,20230103,91501380,0,17345,A,B,71000,500,
600000.SH,600000,20230103,91501380,0,17427,A,S,77400,13300,
600000.SH,600000,20230103,91501380,0,17491,A,B,65600,100,
600000.SH,600000,20230103,91501390,0,17683,A,B,70000,1000,
600000.SH,600000,20230103,91501390,0,17843,A,S,73700,700,
600000.SH,600000,20230103,91501390,0,17865,A,S,74700,700,
600000.SH,600000,20230103,91501390,0,17900,A,S,75700,700,
600000.SH,600000,20230103,91501390,0,17920,A,S,76700,700,
600000.SH,600000,20230103,91501390,0,17932,A,S,77700,700,
600000.SH,600000,20230103,91501510,0,17960,A,S,78700,700,
600000.SH,600000,20230103,91501510,0,17981,A,S,79500,700,
600000.SH,600000,20230103,91501510,0,18125,A,S,80100,700,
600000.SH,600000,20230103,91501510,0,18184,A,B,65600,100,
600000.SH,600000,20230103,91501510,0,18402,A,S,80000,2000,
600000.SH,600000,20230103,91501510,0,18497,A,B,71100,400,
600000.SH,600000,20230103,91501510,0,18510,A,S,73900,400,
600000.SH,600000,20230103,91501510,0,18523,A,S,74900,400,
600000.SH,600000,20230103,91501510,0,18528,A,S,75900,400,
600000.SH,600000,20230103,91501510,0,18719,A,S,74000,3000,
600000.SH,600000,20230103,91501510,0,19740,A,B,72800,700,
600000.SH,600000,20230103,91501630,0,20603,A,S,79000,1400,
600000.SH,600000,20230103,91501630,0,20761,A,B,70500,500,
600000.SH,600000,20230103,91501630,0,20777,A,S,76400,20000,
600000.SH,600000,20230103,91501630,0,20940,A,S,73500,1000,
600000.SH,600000,20230103,91501630,0,21064,A,S,75000,1000,
600000.SH,600000,20230103,91501630,0,21065,A,S,76000,1000,
600000.SH,600000,20230103,91501630,0,21066,A,S,77000,1000,
600000.SH,600000,20230103,91501630,0,21067,A,B,70000,1000,
600000.SH,600000,20230103,91501630,0,21138,A,B,66400,800,
600000.SH,600000,20230103,91501630,0,21398,A,S,79000,10000,
600000.SH,600000,20230103,91501630,0,21688,A,B,65600,100,
600000.SH,600000,20230103,91501750,0,22969,A,S,73200,2500,
600000.SH,600000,20230103,91501750,0,23084,A,S,72800,200,
600000.SH,600000,20230103,91501750,0,23516,A,S,74000,1000,
