万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
000001.SZ,000001,20240102,91500000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,98000,0,0,0,0,0,0,0,0,0,246000,9600,0,0,0,0,0,0,0,0,98000,0,0,0,0,0,0,0,0,0,246000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91509000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,252000,619300,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91527000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,252000,618400,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91536000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,254100,616200,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,254100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91545000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,257200,613300,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,257200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91554000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,258200,613800,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,258200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91603000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,258500,619800,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,258500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91612000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,259500,618800,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,259500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91621000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,259500,619300,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,259500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91639000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,274000,610000,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,274000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91648000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,275000,672200,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91657000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,275000,682200,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91706000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,276400,680800,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,276400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91715000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,276800,680700,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,276800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91724000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,279300,684000,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,279300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91733000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,280300,689200,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,280300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91742000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,280300,701200,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,280300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91751000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,285600,699200,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,285600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91800000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,285500,703500,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,285500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91809000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,315700,687600,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,315700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91827000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,317700,695300,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,317700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91836000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94700,0,0,0,0,0,0,0,0,0,317700,728600,0,0,0,0,0,0,0,0,94700,0,0,0,0,0,0,0,0,0,317700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91845000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,93900,0,0,0,0,0,0,0,0,0,122700,0,0,0,0,0,0,0,0,0,93900,0,0,0,0,0,0,0,0,0,122700,76600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91854000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,93900,0,0,0,0,0,0,0,0,0,116400,0,0,0,0,0,0,0,0,0,93900,0,0,0,0,0,0,0,0,0,116400,82900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91903000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,73200,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,73200,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91912000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,72300,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,72300,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91921000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,72300,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,72300,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91930000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,72400,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,72400,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91939000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94100,0,0,0,0,0,0,0,0,0,69400,8700,0,0,0,0,0,0,0,0,94100,0,0,0,0,0,0,0,0,0,69400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91948000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94100,0,0,0,0,0,0,0,0,0,68800,12200,0,0,0,0,0,0,0,0,94100,0,0,0,0,0,0,0,0,0,68800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,91957000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94100,0,0,0,0,0,0,0,0,0,69800,14500,0,0,0,0,0,0,0,0,94100,0,0,0,0,0,0,0,0,0,69800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,92000000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,71600,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,71600,37800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,92009000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,72500,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,72500,41300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,92018000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,72500,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,72500,46400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,92027000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,93400,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,93400,31700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,92036000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,112300,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,112300,25400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,000001,20240102,92045000,0,0.0,0.0,0,0,,,0,0,0,0,0,93900,94000,0,0,0,0,0,0,0,0,0,116600,0,0,0,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,0,0,116600,24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
