万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
600000.SH,600000,20240102,91500000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66300,0,0,0,0,0,0,0,0,0,10200,22000,0,0,0,0,0,0,0,0,66300,0,0,0,0,0,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,66500,65540,41900,12800,0,0,0,0,0,
600000.SH,600000,20240102,91503000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66100,0,0,0,0,0,0,0,0,0,28400,0,0,0,0,0,0,0,0,0,66100,0,0,0,0,0,0,0,0,0,28400,900,0,0,0,0,0,0,0,0,68280,65190,644524,506500,0,0,0,0,0,
600000.SH,600000,20240102,91506000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35515,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35515,27385,0,0,0,0,0,0,0,0,68780,64110,1467425,1778100,0,0,0,0,0,
600000.SH,600000,20240102,91509000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,37985,0,0,0,0,0,0,0,0,69370,64300,2832725,2090700,0,0,0,0,0,
600000.SH,600000,20240102,91512000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69370,64390,2855525,2286700,0,0,0,0,0,
600000.SH,600000,20240102,91515000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69360,64380,2865325,2294600,0,0,0,0,0,
600000.SH,600000,20240102,91518000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69360,64380,2865325,2294800,0,0,0,0,0,
600000.SH,600000,20240102,91521000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69360,64370,2868325,2295200,0,0,0,0,0,
600000.SH,600000,20240102,91524000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69360,64370,2868325,2295200,0,0,0,0,0,
600000.SH,600000,20240102,91527000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69360,64370,2871325,2295200,0,0,0,0,0,
600000.SH,600000,20240102,91530000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,151685,0,0,0,0,0,0,0,0,69360,64370,2874325,2295200,0,0,0,0,0,
600000.SH,600000,20240102,91533000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,152885,0,0,0,0,0,0,0,0,69360,64380,2874525,2294700,0,0,0,0,0,
600000.SH,600000,20240102,91536000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,152885,0,0,0,0,0,0,0,0,69360,64360,2877525,2304200,0,0,0,0,0,
600000.SH,600000,20240102,91539000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,152885,0,0,0,0,0,0,0,0,69360,64360,2877525,2304400,0,0,0,0,0,
600000.SH,600000,20240102,91542000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,153085,0,0,0,0,0,0,0,0,69360,64360,2877525,2304400,0,0,0,0,0,
600000.SH,600000,20240102,91545000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,153085,0,0,0,0,0,0,0,0,69360,64380,2877525,2303200,0,0,0,0,0,
600000.SH,600000,20240102,91548000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,153085,0,0,0,0,0,0,0,0,69360,64370,2877425,2310500,0,0,0,0,0,
600000.SH,600000,20240102,91551000,0,0.0,0.0,0,0,,,0,0,0,0,0,66200,66200,0,0,0,0,0,0,0,0,0,35715,0,0,0,0,0,0,0,0,0,66200,0,0,0,0,0,0,0,0,0,35715,153085,0,0,0,0,0,0,0,0,69360,64370,2877425,2308300,0,0,0,0,0,
