万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
600000.SH,600000,20240102,92500650,20287,,,S,66300,1500,179060,132688,
600000.SH,600000,20240102,92500650,20288,,,B,66300,200,179060,184531,
600000.SH,600000,20240102,92500650,20289,,,B,66300,1700,179189,184531,
600000.SH,600000,20240102,92500650,20290,,,B,66300,200,180849,184531,
600000.SH,600000,20240102,92500650,20291,,,B,66300,200,180849,200517,
600000.SH,600000,20240102,92500650,20292,,,B,66300,100,135172,200517,
600000.SH,600000,20240102,92500650,20293,,,B,66300,100,143158,200517,
600000.SH,600000,20240102,92500650,20294,,,B,66300,1700,24743,200517,
600000.SH,600000,20240102,92500650,20295,,,B,66300,2100,24743,202748,
600000.SH,600000,20240102,92500650,20296,,,B,66300,2100,24743,202943,
600000.SH,600000,20240102,92500650,20297,,,B,66300,2100,24743,203765,
600000.SH,600000,20240102,92500650,20298,,,B,66300,2100,24743,199074,
600000.SH,600000,20240102,92500650,20299,,,B,66300,500,24743,73580,
600000.SH,600000,20240102,92500650,20300,,,B,66300,1200,24743,127615,
600000.SH,600000,20240102,92500650,20301,,,B,66300,1000,24743,144474,
600000.SH,600000,20240102,92500650,20302,,,B,66300,400,24743,145302,
600000.SH,600000,20240102,92500650,20303,,,B,66300,200,24743,158046,
600000.SH,600000,20240102,92500650,20304,,,B,66300,200,24743,167083,
600000.SH,600000,20240102,92500650,20305,,,B,66300,300,24743,168609,
600000.SH,600000,20240102,92500650,20306,,,B,66300,800,24743,174113,
600000.SH,600000,20240102,92500650,20307,,,B,66300,600,24743,180234,
600000.SH,600000,20240102,92500650,20308,,,B,66300,1100,24743,181265,
600000.SH,600000,20240102,92500650,20309,,,B,66300,400,24743,183615,
600000.SH,600000,20240102,92500650,20310,,,B,66300,500,24743,192963,
600000.SH,600000,20240102,92500650,20311,,,B,66300,1700,24743,204885,
600000.SH,600000,20240102,92500650,20312,,,B,66300,9000,24743,202457,
