万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
300446.SZ,300446,20171229,92312000,65,216900,0,0,
300446.SZ,300446,20171229,92312000,66,216900,0,0,
300446.SZ,300446,20171229,92348000,65,216800,0,0,
300446.SZ,300446,20171229,92348000,66,216800,0,0,
300446.SZ,300446,20171229,92424000,65,216000,0,0,
300446.SZ,300446,20171229,92424000,66,216000,0,0,
300446.SZ,300446,20171229,92500000,65,215800,0,0,
300446.SZ,300446,20171229,92500000,66,215800,0,0,
300446.SZ,300446,20171229,92503000,65,216000,2,2,700,200,
300446.SZ,300446,20171229,92503000,66,214900,1,1,900,
300446.SZ,300446,20171229,93003000,65,215500,1,1,1300,
300446.SZ,300446,20171229,93003000,66,214900,1,1,900,
300446.SZ,300446,20171229,93006000,65,215700,1,1,300,
300446.SZ,300446,20171229,93006000,66,215000,2,2,500,1100,
300446.SZ,300446,20171229,93033000,65,215700,1,1,300,
300446.SZ,300446,20171229,93033000,66,215000,1,1,1100,
300446.SZ,300446,20171229,93112000,65,215700,1,1,300,
300446.SZ,300446,20171229,93112000,66,215000,1,1,100,
300446.SZ,300446,20171229,93121000,65,215000,1,1,1000,
300446.SZ,300446,20171229,93121000,66,214400,1,1,2800,
300446.SZ,300446,20171229,93136000,65,215700,1,1,300,
300446.SZ,300446,20171229,93136000,66,215000,1,1,2000,
300446.SZ,300446,20171229,93151000,65,215700,1,1,300,
300446.SZ,300446,20171229,93151000,66,215000,1,1,1400,
300446.SZ,300446,20171229,93206000,65,215700,2,2,300,1000,
300446.SZ,300446,20171229,93206000,66,215000,1,1,1400,
300446.SZ,300446,20171229,93215000,65,215700,2,2,300,1000,
300446.SZ,300446,20171229,93215000,66,215000,1,1,600,
300446.SZ,300446,20171229,93224000,65,215700,2,2,300,1000,
300446.SZ,300446,20171229,93224000,66,215200,1,1,4000,
300446.SZ,300446,20171229,93242000,65,215600,1,1,1400,
300446.SZ,300446,20171229,93242000,66,215200,1,1,4000,
300446.SZ,300446,20171229,93248000,65,215600,1,1,1400,
