万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
300446.SZ,300446,20171229,91500090,0,2019,0,B,207000,200,
300446.SZ,300446,20171229,91500090,1,2294,0,S,234600,1500,
300446.SZ,300446,20171229,91500100,2,2824,0,B,200000,20000,
300446.SZ,300446,20171229,91500150,3,5594,0,S,225500,500,
300446.SZ,300446,20171229,91500160,4,5713,0,B,193500,800,
300446.SZ,300446,20171229,91500230,5,8200,0,S,235500,1500,
300446.SZ,300446,20171229,91500230,6,8201,0,S,235500,1500,
300446.SZ,300446,20171229,91500240,7,8310,0,S,235500,900,
300446.SZ,300446,20171229,91500240,8,8311,0,S,235500,900,
300446.SZ,300446,20171229,91500330,9,11669,0,S,219700,100,
300446.SZ,300446,20171229,91500400,10,14552,0,B,214900,900,
300446.SZ,300446,20171229,91500440,11,16192,0,S,236000,100,
300446.SZ,300446,20171229,91500500,12,18932,0,S,236200,100,
300446.SZ,300446,20171229,91500680,13,27304,0,B,210000,800,
300446.SZ,300446,20171229,91500680,14,27305,0,B,200000,900,
300446.SZ,300446,20171229,91500710,15,28476,0,S,229700,1000,
300446.SZ,300446,20171229,91500750,16,29335,0,S,231100,2000,
300446.SZ,300446,20171229,91500750,17,29336,0,S,231100,600,
300446.SZ,300446,20171229,91500910,18,32935,0,S,236400,200,
300446.SZ,300446,20171229,91500980,19,34767,0,B,212700,100,
300446.SZ,300446,20171229,91500980,20,34768,0,B,210000,200,
300446.SZ,300446,20171229,91500980,21,34770,0,S,217800,100,
300446.SZ,300446,20171229,91500980,22,34771,0,S,218800,100,
300446.SZ,300446,20171229,91500980,23,34772,0,S,219800,100,
300446.SZ,300446,20171229,91500980,24,34773,0,S,221800,200,
300446.SZ,300446,20171229,91500980,25,34774,0,S,223800,200,
300446.SZ,300446,20171229,91500980,26,34776,0,S,225800,200,
300446.SZ,300446,20171229,91500980,27,34777,0,S,228800,300,
300446.SZ,300446,20171229,91500980,28,34778,0,S,231800,300,
300446.SZ,300446,20171229,91500980,29,34779,0,S,234800,300,
300446.SZ,300446,20171229,91500980,30,34780,0,S,236200,200,
300446.SZ,300446,20171229,91501130,31,38379,0,S,236400,300,
300446.SZ,300446,20171229,91501210,32,40176,0,S,235700,200,
300446.SZ,300446,20171229,91501250,33,40641,0,B,207700,300,
300446.SZ,300446,20171229,91501320,34,41939,0,S,216900,300,
300446.SZ,300446,20171229,91501320,35,41940,0,S,218500,300,
300446.SZ,300446,20171229,91501320,36,41941,0,S,219900,300,
300446.SZ,300446,20171229,91501320,37,41942,0,S,221500,300,
300446.SZ,300446,20171229,91501320,38,41944,0,S,222900,300,
300446.SZ,300446,20171229,91501470,39,44315,0,S,234800,5700,
300446.SZ,300446,20171229,91501510,40,45079,0,S,235500,800,
300446.SZ,300446,20171229,91501520,41,45168,0,B,196600,2000,
300446.SZ,300446,20171229,91501560,42,45783,0,S,236000,200,
300446.SZ,300446,20171229,91501600,43,46603,0,S,235500,3000,
300446.SZ,300446,20171229,91501600,44,46604,0,B,195500,2000,
300446.SZ,300446,20171229,91501680,45,47697,0,B,195000,500,
300446.SZ,300446,20171229,91501690,46,47909,0,B,213100,1200,
300446.SZ,300446,20171229,91501820,47,49941,0,S,236400,200,
300446.SZ,300446,20171229,91501820,48,49946,0,B,193400,500,
300446.SZ,300446,20171229,91501820,49,49967,0,S,236400,300,
300446.SZ,300446,20171229,91502320,50,55599,0,S,236000,200,
300446.SZ,300446,20171229,91502710,51,59336,0,S,234800,1000,
300446.SZ,300446,20171229,91502710,52,59340,0,B,201800,400,
300446.SZ,300446,20171229,91502780,53,60001,0,B,212100,100,
300446.SZ,300446,20171229,91502840,54,60493,0,B,213200,1100,
300446.SZ,300446,20171229,91503990,55,67510,0,B,212000,400,
300446.SZ,300446,20171229,91503990,56,67513,0,S,218000,400,
300446.SZ,300446,20171229,91507230,57,73721,0,S,220000,100,
300446.SZ,300446,20171229,91513620,58,75530,0,S,222500,100,
300446.SZ,300446,20171229,91513710,59,75542,0,S,229500,100,
300446.SZ,300446,20171229,91513710,60,75543,0,S,235500,100,
300446.SZ,300446,20171229,91514830,61,75772,0,S,229500,800,
300446.SZ,300446,20171229,91515930,62,76015,0,S,231000,100,
300446.SZ,300446,20171229,91522320,63,77111,0,B,207100,800,
300446.SZ,300446,20171229,91524480,64,77404,0,B,205000,100,
300446.SZ,300446,20171229,91534770,65,78265,0,S,234500,4500,
300446.SZ,300446,20171229,91753690,66,86408,0,B,212000,400,
300446.SZ,300446,20171229,91809670,67,87532,0,B,212000,500,
300446.SZ,300446,20171229,91819220,68,88234,0,B,211500,500,
300446.SZ,300446,20171229,91828740,69,88987,0,B,211000,500,
300446.SZ,300446,20171229,91839780,70,89859,0,B,210500,500,
300446.SZ,300446,20171229,91935020,71,94296,0,B,210000,1000,
300446.SZ,300446,20171229,92024680,72,98369,0,B,214100,100,
300446.SZ,300446,20171229,92145640,73,105270,0,S,229900,5600,
300446.SZ,300446,20171229,92156310,74,106219,0,S,229800,2200,
300446.SZ,300446,20171229,92204490,75,107007,0,S,230000,1000,
300446.SZ,300446,20171229,92241100,76,110817,0,S,236400,2000,
300446.SZ,300446,20171229,92302780,77,113225,0,B,230000,100,
300446.SZ,300446,20171229,92319110,78,115250,0,S,227800,2000,
300446.SZ,300446,20171229,92335030,79,117313,0,S,231800,2000,
300446.SZ,300446,20171229,92336520,80,117508,0,S,220000,400,
300446.SZ,300446,20171229,92343740,81,118507,0,S,216800,500,
300446.SZ,300446,20171229,92344040,82,118551,0,S,219000,400,
300446.SZ,300446,20171229,92413290,83,123093,0,S,217900,500,
300446.SZ,300446,20171229,92414130,84,123280,0,S,216000,700,
300446.SZ,300446,20171229,92424340,85,125384,0,S,222200,400,
300446.SZ,300446,20171229,92447100,86,130232,0,S,219700,1400,
300446.SZ,300446,20171229,92452280,87,131419,0,S,216900,1000,
300446.SZ,300446,20171229,92455990,88,132386,0,S,215800,100,
