万得代码,交易所代码,自然日,订单时间,买卖方向,成交价格,订单数量,明细个数,订单明细,
603538.SH,603538,20171229,92501000,65,268400,1,1,300,
603538.SH,603538,20171229,92501000,66,268200,1,1,200,
603538.SH,603538,20171229,93002000,65,269800,1,1,400,
603538.SH,603538,20171229,93002000,66,268700,1,1,100,
603538.SH,603538,20171229,93027000,65,268700,1,1,200,
603538.SH,603538,20171229,93027000,66,268600,2,2,700,300,
603538.SH,603538,20171229,93036000,65,269800,1,1,400,
603538.SH,603538,20171229,93036000,66,268700,1,1,100,
603538.SH,603538,20171229,93036000,65,269800,1,1,400,
603538.SH,603538,20171229,93051000,66,268400,4,4,500,1000,600,100,
603538.SH,603538,20171229,93054000,65,269700,1,1,200,
603538.SH,603538,20171229,93051000,66,268400,4,4,500,1000,600,100,
603538.SH,603538,20171229,93054000,65,269700,1,1,200,
603538.SH,603538,20171229,93112000,66,268400,5,5,500,1000,600,100,1000,
603538.SH,603538,20171229,93054000,65,269700,1,1,200,
603538.SH,603538,20171229,93115000,66,268500,1,1,1000,
603538.SH,603538,20171229,93054000,65,269700,1,1,200,
603538.SH,603538,20171229,93118000,66,268600,1,1,300,
603538.SH,603538,20171229,93130000,65,269600,1,1,200,
603538.SH,603538,20171229,93118000,66,268600,1,1,300,
603538.SH,603538,20171229,93130000,65,269600,1,1,200,
603538.SH,603538,20171229,93133000,66,268600,1,1,200,
603538.SH,603538,20171229,93136000,65,269600,2,2,200,500,
603538.SH,603538,20171229,93133000,66,268600,1,1,200,
603538.SH,603538,20171229,93136000,65,269600,2,2,200,500,
603538.SH,603538,20171229,93145000,66,268400,5,5,300,1000,600,100,1000,
603538.SH,603538,20171229,93151000,65,269500,1,1,1700,
603538.SH,603538,20171229,93145000,66,268400,5,5,300,1000,600,100,1000,
603538.SH,603538,20171229,93151000,65,269500,1,1,1700,
603538.SH,603538,20171229,93212000,66,268400,4,4,300,1000,100,1000,
603538.SH,603538,20171229,93151000,65,269500,1,1,1700,
603538.SH,603538,20171229,93218000,66,268400,3,3,300,100,1000,
603538.SH,603538,20171229,93227000,65,269500,1,1,1700,
603538.SH,603538,20171229,93227000,66,268400,4,4,300,100,1000,500,
603538.SH,603538,20171229,93239000,65,269400,1,1,500,
603538.SH,603538,20171229,93227000,66,268400,4,4,300,100,1000,500,
603538.SH,603538,20171229,93239000,65,269400,1,1,500,
603538.SH,603538,20171229,93254000,66,268400,5,5,300,100,1000,500,500,
603538.SH,603538,20171229,93239000,65,269400,1,1,500,
603538.SH,603538,20171229,93257000,66,268400,6,6,300,100,1000,500,500,300,
603538.SH,603538,20171229,93239000,65,269400,1,1,500,
603538.SH,603538,20171229,93330000,66,268400,5,5,100,1000,500,500,300,
603538.SH,603538,20171229,93239000,65,269400,1,1,500,
603538.SH,603538,20171229,93336000,66,268500,1,1,400,
603538.SH,603538,20171229,93239000,65,269400,1,1,500,
603538.SH,603538,20171229,93354000,66,268500,2,2,400,100,
603538.SH,603538,20171229,93409000,65,268500,1,1,100,
603538.SH,603538,20171229,93409000,66,268400,5,5,100,1000,500,500,300,
603538.SH,603538,20171229,93418000,65,269400,1,1,500,
603538.SH,603538,20171229,93418000,66,268500,1,1,900,
603538.SH,603538,20171229,93421000,65,269400,2,2,500,600,
603538.SH,603538,20171229,93418000,66,268500,1,1,900,
603538.SH,603538,20171229,93421000,65,269400,2,2,500,600,
603538.SH,603538,20171229,93439000,66,268500,2,2,900,1000,
603538.SH,603538,20171229,93421000,65,269400,2,2,500,600,
603538.SH,603538,20171229,93442000,66,268600,1,1,100,
603538.SH,603538,20171229,93518000,65,269500,1,1,1000,
603538.SH,603538,20171229,93518000,66,269400,1,1,400,
603538.SH,603538,20171229,93521000,65,269300,1,1,600,
603538.SH,603538,20171229,93521000,66,268600,1,1,100,
603538.SH,603538,20171229,93527000,65,269300,1,1,200,
603538.SH,603538,20171229,93527000,66,268600,1,1,100,
603538.SH,603538,20171229,93527000,65,269300,1,1,200,
603538.SH,603538,20171229,93536000,66,268600,2,2,100,600,
603538.SH,603538,20171229,93542000,65,269500,1,1,700,
603538.SH,603538,20171229,93542000,66,268600,3,3,100,600,100,
603538.SH,603538,20171229,93542000,65,269500,1,1,700,
603538.SH,603538,20171229,93545000,66,269300,1,1,200,
603538.SH,603538,20171229,93551000,65,269800,1,1,400,
603538.SH,603538,20171229,93551000,66,269500,1,1,1300,
603538.SH,603538,20171229,93551000,65,269800,1,1,400,
603538.SH,603538,20171229,93600000,66,269600,1,1,200,
603538.SH,603538,20171229,93551000,65,269800,1,1,400,
603538.SH,603538,20171229,93606000,66,269500,1,1,1200,
603538.SH,603538,20171229,93618000,65,270600,1,1,1000,
603538.SH,603538,20171229,93606000,66,269500,1,1,1200,
603538.SH,603538,20171229,93624000,65,269700,1,1,200,
603538.SH,603538,20171229,93606000,66,269500,1,1,1200,
603538.SH,603538,20171229,93645000,65,270600,1,1,1000,
603538.SH,603538,20171229,93606000,66,269500,1,1,1200,
603538.SH,603538,20171229,93645000,65,270600,1,1,1000,
603538.SH,603538,20171229,93651000,66,270000,1,1,100,
603538.SH,603538,20171229,93654000,65,270800,1,1,800,
603538.SH,603538,20171229,93654000,66,270700,1,1,3300,
603538.SH,603538,20171229,93654000,65,270800,1,1,800,
603538.SH,603538,20171229,93709000,66,270000,1,1,100,
